label,Main_Label,Sub_Label,Label_Identification,product,uri,upc,ean,isrc,song_name,artist_name,composer_name,album_name,total,file_name,income,admin_Exp,royality
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:13wK4rl4toq8yDXwQ6YGGf","","1.94E+12","INR1L2100115","Jaaneman","Shaarib Toshi  Kkomal Krusshna  Kalim Shaikh","Shaarib Toshi  Kalim Shaikh","Jaaneman","3","Streaming","0.35868319","0.05380248","0.30488071"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:4v6l4jZn62LbdziltWuT68","","8.91E+12","INR1L2100149","Down The Streetlights","Seiya  Spark'n the Band","Seiya","Down The Streetlights","10","Streaming","1.19561069","0.17934160","1.01626909"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:57sbDFoOKvZTd2D13slsKf","","1.94E+12","INR1L2100131","Ruswaa","Reeshabh Purohit  Kalim Shaikh  Khwaab","Reeshabh Purohit  Kalim Shaikh","Ruswaa","1","Streaming","0.11956104","0.01793416","0.10162688"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:5lJEzTXNAuvcylxn6M1Op4","","1.94E+12","INR1L2100129","Ab Ghan","Shankar Mahadevan  Anoushka Naik","Anoushka Naik","Ab Ghan","1","Streaming","0.11956104","0.01793416","0.10162688"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:7e8fqBJhN0n5tkfmZTvZFa","","1.94E+12","INR1L2100031","Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.11956104","0.01793416","0.10162688"
"RHYFIL","Danka Music","RHYFIL","PDL","DUO","spotify:track:5lJEzTXNAuvcylxn6M1Op4","","1.94E+12","INR1L2100129","Ab Ghan","Shankar Mahadevan  Anoushka Naik","Anoushka Naik","Ab Ghan","5","Streaming","0.59780535","0.08967080","0.50813455"
"RHYFIL","Danka Music","RHYFIL","PDL","DUO","spotify:track:7e8fqBJhN0n5tkfmZTvZFa","","1.94E+12","INR1L2100031","Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.11956104","0.01793416","0.10162688"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:13wK4rl4toq8yDXwQ6YGGf","","1.94E+12","INR1L2100115","Jaaneman","Shaarib Toshi  Kkomal Krusshna  Kalim Shaikh","Shaarib Toshi  Kalim Shaikh","Jaaneman","1","Streaming","0.11956104","0.01793416","0.10162688"
"RHYFIL","Danka Music","RHYFIL","PDL","P","spotify:track:54icRguusp8jnhYm8PqipI","","1.94E+12","INR1L2100030","Raag Khamaj - Thumri - Chhab Dikhala Ja","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.11956104","0.01793416","0.10162688"
"RHYFIL","Danka Music","RHYFIL","PDL","P","spotify:track:57sbDFoOKvZTd2D13slsKf","","1.94E+12","INR1L2100131","Ruswaa","Reeshabh Purohit  Kalim Shaikh  Khwaab","Reeshabh Purohit  Kalim Shaikh","Ruswaa","2","Streaming","0.23912216","0.03586832","0.20325383"
"RHYFIL","Danka Music","RHYFIL","PDL","P","spotify:track:7e8fqBJhN0n5tkfmZTvZFa","","1.94E+12","INR1L2100031","Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane","Shubha Joshi","Traditional","Surmayi","2","Streaming","0.23912216","0.03586832","0.20325383"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:4v6l4jZn62LbdziltWuT68","","8.91E+12","INR1L2100149","Down The Streetlights","Seiya  Spark'n the Band","Seiya","Down The Streetlights","44","Streaming","0.34162687","0.05124403","0.29038284"
"RHYFIL","Danka Music","RHYFIL","PDL","DUO","spotify:track:7e8fqBJhN0n5tkfmZTvZFa","","1.94E+12","INR1L2100031","Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.09868643","0.01480297","0.08388347"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:13wK4rl4toq8yDXwQ6YGGf","","1.94E+12","INR1L2100115","Jaaneman","Shaarib Toshi  Kkomal Krusshna  Kalim Shaikh","Shaarib Toshi  Kalim Shaikh","Jaaneman","1","Streaming","0.06248155","0.00937223","0.05310932"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:13wK4rl4toq8yDXwQ6YGGf","","1.94E+12","INR1L2100115","Jaaneman","Shaarib Toshi  Kkomal Krusshna  Kalim Shaikh","Shaarib Toshi  Kalim Shaikh","Jaaneman","2","Streaming","0.43558980","0.06533847","0.37025133"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:4v6l4jZn62LbdziltWuT68","","8.91E+12","INR1L2100149","Down The Streetlights","Seiya  Spark'n the Band","Seiya","Down The Streetlights","7","Streaming","1.52456430","0.22868465","1.29587966"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:5lJEzTXNAuvcylxn6M1Op4","","1.94E+12","INR1L2100129","Ab Ghan","Shankar Mahadevan  Anoushka Naik","Anoushka Naik","Ab Ghan","1","Streaming","0.21779490","0.03266924","0.18512567"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:7e8fqBJhN0n5tkfmZTvZFa","","1.94E+12","INR1L2100031","Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.21779490","0.03266924","0.18512567"
"RHYFIL","Danka Music","RHYFIL","PDL","FAM6","spotify:track:7e8fqBJhN0n5tkfmZTvZFa","","1.94E+12","INR1L2100031","Raag Bhairavi - Dadra - Rab Tohe Bhoole Nahi Bane","Shubha Joshi","Traditional","Surmayi","1","Streaming","0.21779490","0.03266924","0.18512567"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:13wK4rl4toq8yDXwQ6YGGf","","1.94E+12","INR1L2100115","Jaaneman","Shaarib Toshi  Kkomal Krusshna  Kalim Shaikh","Shaarib Toshi  Kalim Shaikh","Jaaneman","12","Streaming","3.30509583","0.49576437","2.80933146"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:198JS19D86t3HzphIFF7DB","1.96E+11","","QZFZ42186097","Main Ek Saaya","Reeshabh Purohit  Nisha Satpute  Malavika Dikshit","Reeshabh Purohit  Nisha Satpute","Main Ek Saaya","2","Streaming","0.55084926","0.08262739","0.46822187"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:25zxZCVVIpx2OkeE5mvDpe","","8.91E+12","INR1L2100155","Bebhan Man Majhe","Kkomal Krusshna  Shubhankar  Ajay Naik","Shubhankar  Ajay Naik","Bebhan Man Majhe","1","Streaming","0.27542467","0.04131370","0.23411097"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:4py0i2SNdV0zX91ftbo7oN","","1.94E+12","INR1L2100036","Yei Vithuraya Abhang","Jayateerth Mevundi  Kedar Divekar  Avadhoot Gahndhi","Kedar Divekar  Avadhoot Gandhi  Valay Mulgund","Yei Vithuraya Abhang","6","Streaming","1.65254787","0.24788218","1.40466569"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:4v6l4jZn62LbdziltWuT68","","8.91E+12","INR1L2100149","Down The Streetlights","Seiya  Spark'n the Band","Seiya","Down The Streetlights","64","Streaming","17.62717776","2.64407666","14.98310110"
"RHYFIL","Danka Music","RHYFIL","PDL","A","spotify:track:5lJEzTXNAuvcylxn6M1Op4","","1.94E+12","INR1L2100129","Ab Ghan","Shankar Mahadevan  Anoushka Naik","Anoushka Naik","Ab Ghan","7","Streaming","1.92797255","0.28919588","1.63877667"
