song_id,isrc,song_name,album_name,language,label,Main_Label,Sub_Label,Label_Identification,artist,album_id,total,file_name,income,admin_Exp,royality
"srch_pplmumbai_INR1L2100166","INR1L2100166","Maa Sabka Karo Beda Paar","Maa Sabka Karo Beda Paar","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Sahil Chohan","srch_pplmumbai_000RMSKB0CA2022","96","Mumbai","5.76698299","0.86504745","4.90193554"
"srch_pplmumbai_INR1L2100183","INR1L2100183","Tabla Solo vilambit Teen Taal Part 2","Tabla Solo vilambit Teen Taal Part 2","Unknown","RHYFIL","Danka Music","RHYFIL","PDL","Mani Bhardwaj Sandeep Mishra","srch_pplmumbai_000RTSVTDB72022","56","Mumbai","3.36407341","0.50461101","2.85946240"
"srch_pplmumbai_INR1L2100022","INR1L2100022","Bharmaayo Mhaaro Maarudo","Suno Mhaaree Arjee","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Ninu Mazumdar Sant Meerabai","srch_pplmumbai_000R0SMA3AF2021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INR1L2100073","INR1L2100073","Ghar Chota Jeha","Ghar Chota Jeha","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Sumit Sharma Rajan Madaan Sandeep Mahi","srch_pplmumbai_000R0GCJ3492021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INR1L2100161","INR1L2100161","Anntarangi","Anntarangi","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Jasraj Joshi","srch_pplmumbai_000R000ADB42022","11","Mumbai","0.66080014","0.09912002","0.56168011"
"srch_pplmumbai_INR1L2100187","INR1L2100187","Retro","Ehsaas","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Rough Soul Sanxd","srch_pplmumbai_000R000EBFF2022","37","Mumbai","2.22269136","0.33340370","1.88928766"
"srch_pplmumbai_INI112177848","INI112177848","No Regrets","By Myself","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Rough Soul San D Lafz","srch_pplmumbai_000R00BM3A02021","186","Mumbai","11.17352955","1.67602943","9.49750012"
"srch_pplmumbai_INR1L2100021","INR1L2100021","Kabeera Bigariyo","Suno Mhaaree Arjee","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Ninu Mazumdar Sant Kabeerdas","srch_pplmumbai_000R0SMA3AF2021","2","Mumbai","0.12014548","0.01802182","0.10212366"
"srch_pplmumbai_INI112177845","INI112177845","Aai Cha Shrungar","Aai Cha Shrungar","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Shweta Deshpande Arun Sangole","srch_pplmumbai_000R0ACSDCE2021","1","Mumbai","0.06007274","0.00901091","0.05106183"
"srch_pplmumbai_INR1L2100088","INR1L2100088","Dolyatil Pani","Zep","Marathi","RHYFIL","Danka Music","RHYFIL","PDL","Shefali Kulkarni Sakurikar","srch_pplmumbai_000R000ZD612021","26","Mumbai","1.56189123","0.23428368","1.32760754"
"srch_pplmumbai_QZFZ42186097","QZFZ42186097","Main Ek Saaya","Main Ek Saaya","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Malavika Dikshit Reeshabh Purohit Nisha Satpute","srch_pplmumbai_000R0MESE472021","19","Mumbai","1.14138205","0.17120731","0.97017474"
"srch_pplmumbai_INR1L2100015","INR1L2100015","Mere Aaghaz Se","Sartaje Ghazal","urdu","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Ustad Taj Ahmed Khan Raaz","srch_pplmumbai_000R00SG6522021","2","Mumbai","0.12014548","0.01802182","0.10212366"
"srch_pplmumbai_INR1L2100129","INR1L2100129","Ab Ghan","Ab Ghan","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Shankar Mahadevan Anoushka Naik","srch_pplmumbai_000R00AGA392021","2","Mumbai","0.12014548","0.01802182","0.10212366"
"srch_pplmumbai_INR1L2100017","INR1L2100017","Gale Lagaa Hai","Sartaje Ghazal","urdu","RHYFIL","Danka Music","RHYFIL","PDL","Shubha Joshi Ustad Taj Ahmed Khan Daagh","srch_pplmumbai_000R00SG6522021","3","Mumbai","0.18021822","0.02703273","0.15318549"
"srch_pplmumbai_INI112177849","INI112177849","2am Vibes","By Myself","Hindi","RHYFIL","Danka Music","RHYFIL","PDL","Rough Soul","srch_pplmumbai_000R00BM3A02021","10","Mumbai","0.60072740","0.09010911","0.51061829"
